,lat,lon,name,address,place,place_id,code,price_level,rating,user_ratings_total,amenity,amenity_label,bar,bistro,cafe,fast_food,ice_cream,juice_bar,pub,restaurant,is_chain,chain_label,chain_False,chain_True,predicted
0,49.260812,-123.125736,starbucks,"1001 W 12th Ave, Vancouver, BC V6H 0A5, Canada",Vancouver (West Fairview / Granville Island / NE Shaughnessy),ChIJ-32hJMJzhlQR_ITyqe-rf3c,V6H,2.0,3.9,127,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0,True
1,49.2634479,-123.1380669,mcdonald's,"1482 BC-7, Vancouver, BC V6H 4E8, Canada",Vancouver (West Fairview / Granville Island / NE Shaughnessy),ChIJbW0YnsdzhlQR2mtc9pcWMWw,V6H,1.0,3.4,539,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0,True
2,49.2632255,-123.1333895,denny's,"1296 W Broadway, Vancouver, BC V6H 1G6, Canada",Vancouver (West Fairview / Granville Island / NE Shaughnessy),ChIJFx8XKbhzhlQRs4CTHYMO2mg,V6H,2.0,4.0,532,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1,0.0,1.0,False
3,49.26322310000001,-123.1389199,starbucks,"2505 Granville St, Vancouver, BC V6H 3G7, Canada",Vancouver (West Fairview / Granville Island / NE Shaughnessy),ChIJVTbKnMdzhlQR2eJyHFphPec,V6H,2.0,4.1,140,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0,True
4,49.2634549,-123.1383566,blenz coffee,"2506 Granville St, Vancouver, BC V6H 3G8, Canada",Vancouver (West Fairview / Granville Island / NE Shaughnessy),ChIJP2FxnsdzhlQRtGPPIr583EQ,V6H,1.0,4.1,209,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0,True
5,49.2654797,-123.1382778,starbucks,"2288 BC-99, Vancouver, BC V6H 4H7, Canada",Vancouver (West Fairview / Granville Island / NE Shaughnessy),ChIJTe-GzcdzhlQR8VRlysNwE-c,V6H,2.0,4.0,181,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0,True
6,49.2572846,-123.12698190000002,de dutch,"3192 Oak St, Vancouver, BC V6H 2L1, Canada",Vancouver (West Fairview / Granville Island / NE Shaughnessy),ChIJZzB-iupzhlQRCX2r-Q-vRl8,V6H,2.0,4.1,270,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1,0.0,1.0,False
7,49.263332,-123.1329176,subway,"1288 W Broadway, Vancouver, BC V6H 3X8, Canada",Vancouver (West Fairview / Granville Island / NE Shaughnessy),ChIJe9-9wcZzhlQRNV7qp9n8FVM,V6H,1.0,3.3,48,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0,True
8,49.2633326,-123.1328362,panago,"1266 W Broadway, Vancouver, BC V6H 1G6, Canada",Vancouver (West Fairview / Granville Island / NE Shaughnessy),ChIJ_UP4wMZzhlQRwq1ClqsejF8,V6H,2.0,3.8,48,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0,True
9,49.2445292,-123.1257268,second cup,"4480 Oak St, Vancouver, BC V6H 3N1, Canada",Vancouver (West Fairview / Granville Island / NE Shaughnessy),ChIJB_HSLoxzhlQRqYgCBya-CdI,V6H,2.0,3.4,32,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0,True
10,49.263365,-123.13429,domino's pizza,"1312 W Broadway, Vancouver, BC V6H 1H2, Canada",Vancouver (West Fairview / Granville Island / NE Shaughnessy),ChIJpekH58ZzhlQR2TxoLoiF2BI,V6H,1.0,3.7,122,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0,True
11,49.2637211,-123.1347841,boston pizza,"1355 BC-7, Vancouver, BC V6H 4A7, Canada",Vancouver (West Fairview / Granville Island / NE Shaughnessy),ChIJW2wi48ZzhlQRMrotX09z9xw,V6H,2.0,3.8,504,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1,0.0,1.0,False
12,49.12421120000001,-123.182955,waves coffee house,"12251 First Ave, Richmond, BC V7E 3M3, Canada",Richmond Southwest,ChIJV4SF-9jhhVQR8QA2i-c3hM8,V7E,0.0,3.9,435,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0,True
13,49.1332371,-123.158294,panago,"6020 Steveston Hwy, Richmond, BC V7E 2K8, Canada",Richmond Southwest,ChIJrURK8ynghVQRWKspZldLX_s,V7E,2.0,3.8,68,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0,True
14,49.2799281,-123.1066781,taco time,"63 Keefer Pl, Vancouver, BC V6B 0C9, Canada",Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),ChIJ6SNusXtxhlQRvxaJdX2oVB4,V6B,1.0,3.3,44,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0,True
15,49.2789586,-123.1212246,starbucks,"960 Seymour St, Vancouver, BC V6B 1B4, Canada",Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),ChIJY51H7dVzhlQR59u1ucLh2Nc,V6B,2.0,4.0,77,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0,True
16,49.2792588,-123.1074257,uncle fatih's pizza,"638 Abbott St, Vancouver, BC V6B 6N7, Canada",Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),ChIJxd_xpntxhlQRD6vpF5ut53E,V6B,1.0,4.2,543,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0,False
17,49.2793502,-123.1078358,freshslice,"623 Abbott St, Vancouver, BC V6B 6B8, Canada",Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),ChIJ-4Qlp3txhlQRV_NYiTdamnw,V6B,1.0,4.2,265,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0,False
18,49.279937200000006,-123.1073562,starbucks,"2097-88 W Pender St, Vancouver, BC V6B 2L1, Canada",Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),ChIJF30GaJtxhlQRpebiBdyh2RQ,V6B,2.0,4.2,595,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0,False
19,49.2789073,-123.1221767,uncle fatih's pizza,"625 Nelson St, Vancouver, BC V6B 2E5, Canada",Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),ChIJ06y_lNVzhlQRSFDEQdXHC8Q,V6B,1.0,4.3,499,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0,False
20,49.2810223,-123.1189956,meat & bread,"625 Robson St, Vancouver, BC V6B 5J3, Canada",Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),ChIJxXR-6LdxhlQRBqjRcS5DtQo,V6B,0.0,4.0,100,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1,0.0,1.0,False
21,49.28109,-123.1190968,five guys,"635 Robson St, Vancouver, BC V6B 5J3, Canada",Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),ChIJz8KVrH9xhlQRLmjJfMc3Hbc,V6B,2.0,4.3,2699,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0,False
22,49.282623,-123.109344,meat & bread,"360 Cambie St, Vancouver, BC V6B 2N3, Canada",Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),ChIJT7tponlxhlQRXg5AoyEz6lI,V6B,1.0,4.6,1396,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0,False
23,49.28384370000001,-123.1053674,the old spaghetti factory,"53 Water St, Vancouver, BC V6B 1A1, Canada",Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),ChIJEwXWQndxhlQRRKy4phazLq0,V6B,2.0,4.4,4834,restaurant,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1,0.0,1.0,False
24,49.2796325,-123.1078508,blenz,"603 Abbott St, Vancouver, BC V6B 6B9, Canada",Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),ChIJCYc-x4JxhlQR38BhppONKwY,V6B,1.0,3.6,251,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0,True
25,49.2823756,-123.10848590000002,subway,"139 W Hastings St, Vancouver, BC V6B 1H4, Canada",Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),ChIJDQmomnlxhlQRWn0uyxtCBA0,V6B,1.0,3.6,142,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0,True
26,49.2810287,-123.118654,blenz coffee,"767 BC-99, Vancouver, BC V6B 5J3, Canada",Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),ChIJ04T0_35xhlQRGV-Mf61c1HQ,V6B,1.0,3.7,85,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0,True
27,49.2841391,-123.1142912,burger king,"620 W Pender St, Vancouver, BC V6B 1V8, Canada",Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),ChIJd-pyYitxhlQRN45BuXD8nGA,V6B,1.0,3.2,506,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0,True
28,49.274665,-123.122111,starbucks,"1185 Mainland St, Vancouver, BC V6B 2S2, Canada",Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),ChIJJXe54NZzhlQRblmDfqR4_4I,V6B,2.0,4.0,162,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0,True
29,49.2825011,-123.1092466,bean around the world,"163 W Hastings St #507, Vancouver, BC V6B 1H5, Canada",Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),ChIJdZQzmXlxhlQRDurSjzutTlI,V6B,1.0,4.1,172,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0,True
30,49.275785600000006,-123.12110990000002,blenz coffee,"338 Helmcken St, Vancouver, BC V6B 6C5, Canada",Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),ChIJs89TXtZzhlQRUrpn9ctIKAI,V6B,1.0,4.1,264,cafe,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0,True
31,49.2860028,-123.1124564,chronic tacos,"34-601 W Cordova St, Vancouver, BC V6B 1G1, Canada",Vancouver (NE Downtown / Harbour Centre / Gastown / Yaletown),ChIJHcapD3lxhlQR-9MjgPVyzJc,V6B,0.0,4.4,193,fast_food,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,1,0.0,1.0,False
